id,gender,age,condition,sample_size,n_obs,test_item,response
9,female,37,category,large,12,5,0
9,female,37,category,large,12,6,0
9,female,37,category,large,12,7,0
10,female,46,category,small,2,1,8
10,female,46,category,small,2,2,6
10,female,46,category,small,2,3,4
10,female,46,category,small,2,4,4
10,female,46,category,small,2,5,4
10,female,46,category,small,2,6,4
10,female,46,category,small,2,7,2
10,female,46,category,medium,6,1,6
10,female,46,category,medium,6,2,6
10,female,46,category,medium,6,3,5
10,female,46,category,medium,6,4,4
10,female,46,category,medium,6,5,4
10,female,46,category,medium,6,6,4
10,female,46,category,medium,6,7,4
10,female,46,category,large,12,1,9
10,female,46,category,large,12,2,9
10,female,46,category,large,12,3,8
10,female,46,category,large,12,4,6
10,female,46,category,large,12,5,9
10,female,46,category,large,12,6,8
10,female,46,category,large,12,7,9
11,male,27,category,small,2,1,7
11,male,27,category,small,2,2,8
11,male,27,category,small,2,3,9
11,male,27,category,small,2,4,9
11,male,27,category,small,2,5,9
11,male,27,category,small,2,6,9
11,male,27,category,small,2,7,9
11,male,27,category,medium,6,1,9
11,male,27,category,medium,6,2,9
11,male,27,category,medium,6,3,9
11,male,27,category,medium,6,4,9
11,male,27,category,medium,6,5,9
11,male,27,category,medium,6,6,9
11,male,27,category,medium,6,7,9
11,male,27,category,large,12,1,9
11,male,27,category,large,12,2,9
11,male,27,category,large,12,3,9
11,male,27,category,large,12,4,9
11,male,27,category,large,12,5,9
11,male,27,category,large,12,6,9
11,male,27,category,large,12,7,9
12,female,30,property,small,2,1,9
12,female,30,property,small,2,2,9
12,female,30,property,small,2,3,8
12,female,30,property,small,2,4,9
12,female,30,property,small,2,5,9
12,female,30,property,small,2,6,9
12,female,30,property,small,2,7,9
12,female,30,property,medium,6,1,7
12,female,30,property,medium,6,2,6
12,female,30,property,medium,6,3,6
12,female,30,property,medium,6,4,1
12,female,30,property,medium,6,5,1
12,female,30,property,medium,6,6,3
12,female,30,property,medium,6,7,1
12,female,30,property,large,12,1,8
12,female,30,property,large,12,2,7
12,female,30,property,large,12,3,2
12,female,30,property,large,12,4,1
12,female,30,property,large,12,5,1
12,female,30,property,large,12,6,1
12,female,30,property,large,12,7,0
13,female,22,category,small,2,1,0
13,female,22,category,small,2,2,1
13,female,22,category,small,2,3,3
13,female,22,category,small,2,4,5
13,female,22,category,small,2,5,5
13,female,22,category,small,2,6,7
13,female,22,category,small,2,7,8
13,female,22,category,medium,6,1,1
13,female,22,category,medium,6,2,2
13,female,22,category,medium,6,3,5
13,female,22,category,medium,6,4,6
13,female,22,category,medium,6,5,6
13,female,22,category,medium,6,6,7
13,female,22,category,medium,6,7,9
13,female,22,category,large,12,1,9
13,female,22,category,large,12,2,9
13,female,22,category,large,12,3,9
13,female,22,category,large,12,4,4
13,female,22,category,large,12,5,4
13,female,22,category,large,12,6,4
13,female,22,category,large,12,7,4
14,female,31,category,small,2,1,9
14,female,31,category,small,2,2,6
14,female,31,category,small,2,3,4
14,female,31,category,small,2,4,0
14,female,31,category,small,2,5,1
14,female,31,category,small,2,6,0
14,female,31,category,small,2,7,0
14,female,31,category,medium,6,1,9
14,female,31,category,medium,6,2,7
14,female,31,category,medium,6,3,2
14,female,31,category,medium,6,4,2
14,female,31,category,medium,6,5,1
14,female,31,category,medium,6,6,0
14,female,31,category,medium,6,7,0
14,female,31,category,large,12,1,9
14,female,31,category,large,12,2,8
14,female,31,category,large,12,3,7
14,female,31,category,large,12,4,5
14,female,31,category,large,12,5,1
14,female,31,category,large,12,6,0
14,female,31,category,large,12,7,0
15,female,20,category,small,2,1,8
15,female,20,category,small,2,2,8
15,female,20,category,small,2,3,9
15,female,20,category,small,2,4,3
15,female,20,category,small,2,5,6
15,female,20,category,small,2,6,2
15,female,20,category,small,2,7,2
15,female,20,category,medium,6,1,7
15,female,20,category,medium,6,2,7
15,female,20,category,medium,6,3,3
15,female,20,category,medium,6,4,3
15,female,20,category,medium,6,5,4
15,female,20,category,medium,6,6,1
15,female,20,category,medium,6,7,0
15,female,20,category,large,12,1,9
15,female,20,category,large,12,2,7
15,female,20,category,large,12,3,6
15,female,20,category,large,12,4,5
15,female,20,category,large,12,5,1
15,female,20,category,large,12,6,1
15,female,20,category,large,12,7,2
16,female,20,property,small,2,1,6
16,female,20,property,small,2,2,7
16,female,20,property,small,2,3,7
16,female,20,property,small,2,4,4
16,female,20,property,small,2,5,2
16,female,20,property,small,2,6,2
16,female,20,property,small,2,7,1
16,female,20,property,medium,6,1,7
16,female,20,property,medium,6,2,7
16,female,20,property,medium,6,3,5
16,female,20,property,medium,6,4,3
16,female,20,property,medium,6,5,2
16,female,20,property,medium,6,6,2
16,female,20,property,medium,6,7,1
16,female,20,property,large,12,1,8
16,female,20,property,large,12,2,6
16,female,20,property,large,12,3,6
16,female,20,property,large,12,4,5
16,female,20,property,large,12,5,2
16,female,20,property,large,12,6,1
16,female,20,property,large,12,7,1
17,female,34,property,small,2,1,4
17,female,34,property,small,2,2,4
17,female,34,property,small,2,3,4
17,female,34,property,small,2,4,4
17,female,34,property,small,2,5,4
17,female,34,property,small,2,6,4
17,female,34,property,small,2,7,4
17,female,34,property,medium,6,1,4
17,female,34,property,medium,6,2,4
17,female,34,property,medium,6,3,4
17,female,34,property,medium,6,4,4
17,female,34,property,medium,6,5,4
17,female,34,property,medium,6,6,4
17,female,34,property,medium,6,7,4
17,female,34,property,large,12,1,8
17,female,34,property,large,12,2,8
17,female,34,property,large,12,3,4
17,female,34,property,large,12,4,1
17,female,34,property,large,12,5,1
17,female,34,property,large,12,6,1
17,female,34,property,large,12,7,1
18,male,33,category,small,2,1,8
18,male,33,category,small,2,2,8
18,male,33,category,small,2,3,7
18,male,33,category,small,2,4,8
18,male,33,category,small,2,5,8
18,male,33,category,small,2,6,8
18,male,33,category,small,2,7,3
18,male,33,category,medium,6,1,9
18,male,33,category,medium,6,2,9
18,male,33,category,medium,6,3,8
18,male,33,category,medium,6,4,5
18,male,33,category,medium,6,5,0
18,male,33,category,medium,6,6,1
18,male,33,category,medium,6,7,0
18,male,33,category,large,12,1,6
18,male,33,category,large,12,2,8
18,male,33,category,large,12,3,6
18,male,33,category,large,12,4,5
18,male,33,category,large,12,5,4
18,male,33,category,large,12,6,1
18,male,33,category,large,12,7,0
19,male,35,property,small,2,1,0
19,male,35,property,small,2,2,1
19,male,35,property,small,2,3,2
19,male,35,property,small,2,4,3
19,male,35,property,small,2,5,3
19,male,35,property,small,2,6,7
19,male,35,property,small,2,7,6
19,male,35,property,medium,6,1,0
19,male,35,property,medium,6,2,1
19,male,35,property,medium,6,3,1
19,male,35,property,medium,6,4,1
19,male,35,property,medium,6,5,3
19,male,35,property,medium,6,6,4
19,male,35,property,medium,6,7,4
19,male,35,property,large,12,1,0
19,male,35,property,large,12,2,1
19,male,35,property,large,12,3,2
19,male,35,property,large,12,4,2
19,male,35,property,large,12,5,3
19,male,35,property,large,12,6,3
19,male,35,property,large,12,7,7
20,male,36,category,small,2,1,8
20,male,36,category,small,2,2,7
20,male,36,category,small,2,3,8
20,male,36,category,small,2,4,7
20,male,36,category,small,2,5,7
20,male,36,category,small,2,6,7
20,male,36,category,small,2,7,7
20,male,36,category,medium,6,1,9
20,male,36,category,medium,6,2,9
20,male,36,category,medium,6,3,9
20,male,36,category,medium,6,4,9
20,male,36,category,medium,6,5,9
20,male,36,category,medium,6,6,9
20,male,36,category,medium,6,7,9
20,male,36,category,large,12,1,9
20,male,36,category,large,12,2,9
20,male,36,category,large,12,3,9
20,male,36,category,large,12,4,9
20,male,36,category,large,12,5,9
20,male,36,category,large,12,6,9
20,male,36,category,large,12,7,9
21,male,24,property,small,2,1,4
21,male,24,property,small,2,2,4
21,male,24,property,small,2,3,4
21,male,24,property,small,2,4,6
21,male,24,property,small,2,5,4
21,male,24,property,small,2,6,4
21,male,24,property,small,2,7,4
21,male,24,property,medium,6,1,8
21,male,24,property,medium,6,2,6
21,male,24,property,medium,6,3,3
21,male,24,property,medium,6,4,3
21,male,24,property,medium,6,5,1
21,male,24,property,medium,6,6,1
21,male,24,property,medium,6,7,2
21,male,24,property,large,12,1,8
21,male,24,property,large,12,2,5
21,male,24,property,large,12,3,6
21,male,24,property,large,12,4,6
21,male,24,property,large,12,5,2
21,male,24,property,large,12,6,1
21,male,24,property,large,12,7,1
22,male,71,property,small,2,1,8
22,male,71,property,small,2,2,8
22,male,71,property,small,2,3,7
22,male,71,property,small,2,4,7
22,male,71,property,small,2,5,7
22,male,71,property,small,2,6,7
22,male,71,property,small,2,7,6
22,male,71,property,medium,6,1,8
22,male,71,property,medium,6,2,8
22,male,71,property,medium,6,3,8
22,male,71,property,medium,6,4,8
22,male,71,property,medium,6,5,7
22,male,71,property,medium,6,6,7
22,male,71,property,medium,6,7,8
22,male,71,property,large,12,1,8
22,male,71,property,large,12,2,8
22,male,71,property,large,12,3,8
22,male,71,property,large,12,4,8
22,male,71,property,large,12,5,8
22,male,71,property,large,12,6,8
22,male,71,property,large,12,7,8
23,female,32,property,small,2,1,9
23,female,32,property,small,2,2,9
23,female,32,property,small,2,3,1
23,female,32,property,small,2,4,0
23,female,32,property,small,2,5,0
23,female,32,property,small,2,6,0
23,female,32,property,small,2,7,0
23,female,32,property,medium,6,1,9
23,female,32,property,medium,6,2,9
23,female,32,property,medium,6,3,8
23,female,32,property,medium,6,4,1
23,female,32,property,medium,6,5,0
23,female,32,property,medium,6,6,0
23,female,32,property,medium,6,7,0
23,female,32,property,large,12,1,9
23,female,32,property,large,12,2,9
23,female,32,property,large,12,3,8
23,female,32,property,large,12,4,1
23,female,32,property,large,12,5,0
23,female,32,property,large,12,6,0
23,female,32,property,large,12,7,0
24,male,35,property,small,2,1,9
24,male,35,property,small,2,2,9
24,male,35,property,small,2,3,9
24,male,35,property,small,2,4,9
24,male,35,property,small,2,5,9
24,male,35,property,small,2,6,4
24,male,35,property,small,2,7,4
24,male,35,property,medium,6,1,7
24,male,35,property,medium,6,2,7
24,male,35,property,medium,6,3,0
24,male,35,property,medium,6,4,0
24,male,35,property,medium,6,5,0
24,male,35,property,medium,6,6,0
24,male,35,property,medium,6,7,0
24,male,35,property,large,12,1,9
24,male,35,property,large,12,2,9
24,male,35,property,large,12,3,0
24,male,35,property,large,12,4,0
24,male,35,property,large,12,5,0
24,male,35,property,large,12,6,0
24,male,35,property,large,12,7,0
25,female,27,category,small,2,1,8
25,female,27,category,small,2,2,7
25,female,27,category,small,2,3,6
25,female,27,category,small,2,4,5
25,female,27,category,small,2,5,2
25,female,27,category,small,2,6,3
25,female,27,category,small,2,7,2
25,female,27,category,medium,6,1,9
25,female,27,category,medium,6,2,7
25,female,27,category,medium,6,3,6
25,female,27,category,medium,6,4,6
25,female,27,category,medium,6,5,3
25,female,27,category,medium,6,6,2
25,female,27,category,medium,6,7,1
25,female,27,category,large,12,1,9
25,female,27,category,large,12,2,7
25,female,27,category,large,12,3,8
25,female,27,category,large,12,4,6
25,female,27,category,large,12,5,3
25,female,27,category,large,12,6,3
25,female,27,category,large,12,7,2
26,female,26,category,small,2,1,6
26,female,26,category,small,2,2,8
26,female,26,category,small,2,3,8
26,female,26,category,small,2,4,4
26,female,26,category,small,2,5,1
26,female,26,category,small,2,6,1
26,female,26,category,small,2,7,0
26,female,26,category,medium,6,1,8
26,female,26,category,medium,6,2,8
26,female,26,category,medium,6,3,2
26,female,26,category,medium,6,4,1
26,female,26,category,medium,6,5,1
26,female,26,category,medium,6,6,1
26,female,26,category,medium,6,7,0
26,female,26,category,large,12,1,9
26,female,26,category,large,12,2,8
26,female,26,category,large,12,3,3
26,female,26,category,large,12,4,2
26,female,26,category,large,12,5,1
26,female,26,category,large,12,6,0
26,female,26,category,large,12,7,0
27,male,28,category,small,2,1,2
27,male,28,category,small,2,2,5
27,male,28,category,small,2,3,4
27,male,28,category,small,2,4,3
27,male,28,category,small,2,5,3
27,male,28,category,small,2,6,5
27,male,28,category,small,2,7,6
27,male,28,category,medium,6,1,0
27,male,28,category,medium,6,2,1
27,male,28,category,medium,6,3,1
27,male,28,category,medium,6,4,4
27,male,28,category,medium,6,5,3
27,male,28,category,medium,6,6,2
27,male,28,category,medium,6,7,6
27,male,28,category,large,12,1,3
27,male,28,category,large,12,2,4
27,male,28,category,large,12,3,5
27,male,28,category,large,12,4,4
27,male,28,category,large,12,5,4
27,male,28,category,large,12,6,7
27,male,28,category,large,12,7,4
28,male,69,property,small,2,1,7
28,male,69,property,small,2,2,7
28,male,69,property,small,2,3,7
28,male,69,property,small,2,4,7
28,male,69,property,small,2,5,9
28,male,69,property,small,2,6,7
28,male,69,property,small,2,7,7
28,male,69,property,medium,6,1,8
28,male,69,property,medium,6,2,7
28,male,69,property,medium,6,3,7
28,male,69,property,medium,6,4,5
28,male,69,property,medium,6,5,3
28,male,69,property,medium,6,6,4
28,male,69,property,medium,6,7,1
28,male,69,property,large,12,1,8
28,male,69,property,large,12,2,8
28,male,69,property,large,12,3,7
28,male,69,property,large,12,4,2
28,male,69,property,large,12,5,2
28,male,69,property,large,12,6,0
28,male,69,property,large,12,7,0
29,female,25,category,small,2,1,7
29,female,25,category,small,2,2,8
29,female,25,category,small,2,3,6
29,female,25,category,small,2,4,6
29,female,25,category,small,2,5,1
29,female,25,category,small,2,6,3
29,female,25,category,small,2,7,2
29,female,25,category,medium,6,1,9
29,female,25,category,medium,6,2,5
29,female,25,category,medium,6,3,2
29,female,25,category,medium,6,4,1
29,female,25,category,medium,6,5,0
29,female,25,category,medium,6,6,0
29,female,25,category,medium,6,7,0
29,female,25,category,large,12,1,9
29,female,25,category,large,12,2,4
29,female,25,category,large,12,3,0
29,female,25,category,large,12,4,0
29,female,25,category,large,12,5,0
29,female,25,category,large,12,6,0
29,female,25,category,large,12,7,0
30,male,29,property,small,2,1,5
30,male,29,property,small,2,2,5
30,male,29,property,small,2,3,5
30,male,29,property,small,2,4,5
30,male,29,property,small,2,5,4
30,male,29,property,small,2,6,5
30,male,29,property,small,2,7,4
30,male,29,property,medium,6,1,7
30,male,29,property,medium,6,2,6
30,male,29,property,medium,6,3,6
30,male,29,property,medium,6,4,6
30,male,29,property,medium,6,5,3
30,male,29,property,medium,6,6,2
30,male,29,property,medium,6,7,2
30,male,29,property,large,12,1,5
30,male,29,property,large,12,2,7
30,male,29,property,large,12,3,6
30,male,29,property,large,12,4,4
30,male,29,property,large,12,5,2
30,male,29,property,large,12,6,1
30,male,29,property,large,12,7,1
31,female,44,category,small,2,1,1
31,female,44,category,small,2,2,2
31,female,44,category,small,2,3,3
31,female,44,category,small,2,4,2
31,female,44,category,small,2,5,7
31,female,44,category,small,2,6,5
31,female,44,category,small,2,7,7
31,female,44,category,medium,6,1,1
31,female,44,category,medium,6,2,2
31,female,44,category,medium,6,3,3
31,female,44,category,medium,6,4,6
31,female,44,category,medium,6,5,7
31,female,44,category,medium,6,6,7
31,female,44,category,medium,6,7,7
31,female,44,category,large,12,1,1
31,female,44,category,large,12,2,3
31,female,44,category,large,12,3,3
31,female,44,category,large,12,4,6
31,female,44,category,large,12,5,6
31,female,44,category,large,12,6,6
31,female,44,category,large,12,7,7
32,male,42,category,small,2,1,7
32,male,42,category,small,2,2,7
32,male,42,category,small,2,3,7
32,male,42,category,small,2,4,6
32,male,42,category,small,2,5,5
32,male,42,category,small,2,6,4
32,male,42,category,small,2,7,4
32,male,42,category,medium,6,1,8
32,male,42,category,medium,6,2,7
32,male,42,category,medium,6,3,3
32,male,42,category,medium,6,4,3
32,male,42,category,medium,6,5,1
32,male,42,category,medium,6,6,2
32,male,42,category,medium,6,7,1
32,male,42,category,large,12,1,8
32,male,42,category,large,12,2,7
32,male,42,category,large,12,3,6
32,male,42,category,large,12,4,3
32,male,42,category,large,12,5,1
32,male,42,category,large,12,6,1
32,male,42,category,large,12,7,2
33,female,32,property,small,2,1,8
33,female,32,property,small,2,2,3
33,female,32,property,small,2,3,5
33,female,32,property,small,2,4,7
33,female,32,property,small,2,5,5
33,female,32,property,small,2,6,4
33,female,32,property,small,2,7,9
33,female,32,property,medium,6,1,6
33,female,32,property,medium,6,2,5
33,female,32,property,medium,6,3,4
33,female,32,property,medium,6,4,6
33,female,32,property,medium,6,5,5
33,female,32,property,medium,6,6,7
33,female,32,property,medium,6,7,2
33,female,32,property,large,12,1,5
33,female,32,property,large,12,2,7
33,female,32,property,large,12,3,5
33,female,32,property,large,12,4,6
33,female,32,property,large,12,5,2
33,female,32,property,large,12,6,0
33,female,32,property,large,12,7,1
34,female,38,category,small,2,1,3
34,female,38,category,small,2,2,6
34,female,38,category,small,2,3,7
34,female,38,category,small,2,4,6
34,female,38,category,small,2,5,7
34,female,38,category,small,2,6,7
34,female,38,category,small,2,7,9
34,female,38,category,medium,6,1,5
34,female,38,category,medium,6,2,7
34,female,38,category,medium,6,3,6
34,female,38,category,medium,6,4,7
34,female,38,category,medium,6,5,7
34,female,38,category,medium,6,6,6
34,female,38,category,medium,6,7,6
34,female,38,category,large,12,1,6
34,female,38,category,large,12,2,6
34,female,38,category,large,12,3,8
34,female,38,category,large,12,4,8
34,female,38,category,large,12,5,8
34,female,38,category,large,12,6,8
34,female,38,category,large,12,7,7
35,male,36,property,small,2,1,7
35,male,36,property,small,2,2,7
35,male,36,property,small,2,3,7
35,male,36,property,small,2,4,4
35,male,36,property,small,2,5,3
35,male,36,property,small,2,6,2
35,male,36,property,small,2,7,2
35,male,36,property,medium,6,1,7
35,male,36,property,medium,6,2,8
35,male,36,property,medium,6,3,8
35,male,36,property,medium,6,4,1
35,male,36,property,medium,6,5,0
35,male,36,property,medium,6,6,1
35,male,36,property,medium,6,7,0
35,male,36,property,large,12,1,7
35,male,36,property,large,12,2,7
35,male,36,property,large,12,3,9
35,male,36,property,large,12,4,0
35,male,36,property,large,12,5,0
35,male,36,property,large,12,6,0
35,male,36,property,large,12,7,0
36,male,47,category,small,2,1,9
36,male,47,category,small,2,2,9
36,male,47,category,small,2,3,9
36,male,47,category,small,2,4,8
36,male,47,category,small,2,5,8
36,male,47,category,small,2,6,8
36,male,47,category,small,2,7,8
36,male,47,category,medium,6,1,9
36,male,47,category,medium,6,2,9
36,male,47,category,medium,6,3,8
36,male,47,category,medium,6,4,8
36,male,47,category,medium,6,5,7
36,male,47,category,medium,6,6,7
36,male,47,category,medium,6,7,7
36,male,47,category,large,12,1,9
36,male,47,category,large,12,2,9
36,male,47,category,large,12,3,8
36,male,47,category,large,12,4,8
36,male,47,category,large,12,5,8
36,male,47,category,large,12,6,8
36,male,47,category,large,12,7,8
37,female,42,property,small,2,1,9
37,female,42,property,small,2,2,9
37,female,42,property,small,2,3,4
37,female,42,property,small,2,4,4
37,female,42,property,small,2,5,4
37,female,42,property,small,2,6,4
37,female,42,property,small,2,7,4
37,female,42,property,medium,6,1,9
37,female,42,property,medium,6,2,9
37,female,42,property,medium,6,3,9
37,female,42,property,medium,6,4,0
37,female,42,property,medium,6,5,0
37,female,42,property,medium,6,6,0
37,female,42,property,medium,6,7,0
37,female,42,property,large,12,1,9
37,female,42,property,large,12,2,9
37,female,42,property,large,12,3,0
37,female,42,property,large,12,4,0
37,female,42,property,large,12,5,0
37,female,42,property,large,12,6,0
37,female,42,property,large,12,7,0
38,male,27,property,small,2,1,5
38,male,27,property,small,2,2,9
38,male,27,property,small,2,3,9
38,male,27,property,small,2,4,9
38,male,27,property,small,2,5,9
38,male,27,property,small,2,6,9
38,male,27,property,small,2,7,9
38,male,27,property,medium,6,1,2
38,male,27,property,medium,6,2,9
38,male,27,property,medium,6,3,9
38,male,27,property,medium,6,4,9
38,male,27,property,medium,6,5,5
38,male,27,property,medium,6,6,5
38,male,27,property,medium,6,7,5
38,male,27,property,large,12,1,7
38,male,27,property,large,12,2,9
38,male,27,property,large,12,3,8
38,male,27,property,large,12,4,1
38,male,27,property,large,12,5,0
38,male,27,property,large,12,6,0
38,male,27,property,large,12,7,0
39,female,20,property,small,2,1,9
39,female,20,property,small,2,2,7
39,female,20,property,small,2,3,7
39,female,20,property,small,2,4,5
39,female,20,property,small,2,5,3
39,female,20,property,small,2,6,2
39,female,20,property,small,2,7,4
39,female,20,property,medium,6,1,9
39,female,20,property,medium,6,2,7
39,female,20,property,medium,6,3,6
39,female,20,property,medium,6,4,4
39,female,20,property,medium,6,5,2
39,female,20,property,medium,6,6,2
39,female,20,property,medium,6,7,1
39,female,20,property,large,12,1,9
39,female,20,property,large,12,2,6
39,female,20,property,large,12,3,6
39,female,20,property,large,12,4,4
39,female,20,property,large,12,5,2
39,female,20,property,large,12,6,2
39,female,20,property,large,12,7,0
40,female,27,category,small,2,1,5
40,female,27,category,small,2,2,4
40,female,27,category,small,2,3,6
40,female,27,category,small,2,4,3
40,female,27,category,small,2,5,6
40,female,27,category,small,2,6,6
40,female,27,category,small,2,7,7
40,female,27,category,medium,6,1,3
40,female,27,category,medium,6,2,7
40,female,27,category,medium,6,3,4
40,female,27,category,medium,6,4,6
40,female,27,category,medium,6,5,5
40,female,27,category,medium,6,6,4
40,female,27,category,medium,6,7,6
40,female,27,category,large,12,1,6
40,female,27,category,large,12,2,6
40,female,27,category,large,12,3,6
40,female,27,category,large,12,4,5
40,female,27,category,large,12,5,4
40,female,27,category,large,12,6,4
40,female,27,category,large,12,7,3
41,male,39,property,small,2,1,5
41,male,39,property,small,2,2,6
41,male,39,property,small,2,3,6
41,male,39,property,small,2,4,4
41,male,39,property,small,2,5,5
41,male,39,property,small,2,6,6
41,male,39,property,small,2,7,6
41,male,39,property,medium,6,1,8
41,male,39,property,medium,6,2,7
41,male,39,property,medium,6,3,7
41,male,39,property,medium,6,4,6
41,male,39,property,medium,6,5,3
41,male,39,property,medium,6,6,2
