ID,Gender,Age,Sampling,SS2-R1,SS2-R2,SS2-R3,SS2-R4,SS2-R5,SS2-R6,SS2-R7,SS6-R1,SS6-R2,SS6-R3,SS6-R4,SS6-R5,SS6-R6,SS6-R7,SS12-R1,SS12-R2,SS12-R3,SS12-R4,SS12-R5,SS12-R6,SS12-R7
63,male,84,property,5,8,7,2,6,6,6,6,7,8,8,6,6,5,4,6,7,7,6,5,8
64,male,29,category,9,8,3,3,1,1,1,9,8,7,0,0,0,0,9,9,6,1,0,0,0
65,male,32,property,8,8,7,2,2,3,1,8,6,1,2,1,1,1,8,7,3,1,1,1,1
66,male,31,property,9,9,0,0,0,0,0,9,9,0,0,0,0,0,9,9,0,0,0,0,0
67,female,20,property,8,6,3,2,2,1,0,9,9,8,5,4,2,1,9,9,8,8,2,0,0
68,male,30,property,7,7,6,6,5,7,5,4,6,7,7,8,9,9,7,9,8,4,5,6,7
69,female,27,category,9,9,4,7,4,3,0,9,9,7,4,2,1,0,9,9,5,1,1,0,0
70,female,27,property,7,7,2,3,1,1,1,8,8,5,1,1,0,1,9,8,7,1,0,0,0
71,female,53,property,4,5,5,6,2,2,2,5,8,8,2,2,1,1,8,8,7,3,3,1,1
72,male,24,property,2,6,7,9,4,9,4,3,7,5,4,3,3,1,2,6,8,3,2,3,3
73,male,39,category,7,7,4,6,6,5,5,9,9,7,7,7,5,4,8,8,8,9,9,9,9
74,female,24,property,6,6,7,6,5,2,2,7,7,8,1,6,0,2,8,8,6,8,1,0,0
75,female,24,category,7,7,5,4,4,4,4,8,8,6,6,5,5,4,9,9,7,6,6,6,6
76,female,44,category,2,1,9,5,4,9,9,0,2,4,7,9,9,9,0,1,4,7,9,9,9
77,male,23,property,8,7,6,1,0,1,0,8,8,0,0,0,0,0,7,7,5,1,0,0,0
78,male,67,property,4,8,9,9,6,4,4,9,9,9,9,6,3,3,9,9,9,9,7,5,5
79,female,49,property,8,7,2,2,0,0,0,9,8,2,0,0,0,0,9,9,0,0,0,0,0
80,female,62,property,3,8,9,3,1,1,1,6,8,8,3,1,1,0,7,9,2,1,1,0,1
81,female,49,category,7,8,6,4,4,4,4,8,8,4,4,4,4,4,9,9,4,4,4,4,4
82,male,32,property,6,5,6,4,5,2,3,7,6,2,1,0,0,0,7,8,5,0,0,0,0
83,male,28,category,8,8,7,4,4,5,6,8,5,5,4,4,4,3,9,9,5,5,3,3,2
84,female,33,category,2,3,4,6,7,8,8,4,6,7,8,8,9,9,5,7,8,8,9,9,9
85,female,54,category,8,7,5,2,2,2,1,8,6,1,1,1,0,0,8,5,3,1,0,1,0
86,male,47,category,7,6,6,3,3,2,1,7,7,4,4,4,4,4,7,6,5,4,4,3,2
87,female,53,category,0,0,5,8,7,8,8,0,1,1,7,3,4,8,0,1,1,1,5,9,4
88,female,31,category,6,5,6,9,8,8,8,8,8,8,9,9,9,9,7,8,8,9,9,9,9
89,female,26,category,7,6,7,4,2,1,2,9,9,3,2,1,0,0,9,8,5,3,1,0,0
90,male,50,category,8,8,8,8,8,8,8,8,8,8,8,8,8,8,9,9,9,9,9,9,9
91,female,27,category,9,8,6,4,2,2,2,9,7,3,6,2,2,0,8,6,4,4,3,1,1
92,female,41,category,9,9,8,9,9,4,1,9,9,7,1,0,0,0,9,9,3,1,0,0,0
93,male,30,category,1,7,5,6,6,3,3,6,4,7,5,2,3,1,6,6,5,7,8,3,2
94,male,45,category,7,7,7,7,7,7,7,9,9,9,9,9,9,9,9,9,9,9,9,9,9
95,male,42,property,9,9,7,4,2,2,1,9,9,5,2,1,1,0,9,9,4,0,0,0,0
96,female,42,category,2,2,4,8,5,5,4,8,8,7,8,2,2,3,9,9,8,8,7,5,5
97,male,69,category,0,1,4,6,4,7,8,0,1,2,3,4,8,8,0,1,2,3,5,8,9
98,female,30,property,7,8,7,3,4,3,4,9,9,7,2,1,0,0,9,9,6,0,0,0,0
99,female,25,category,9,4,7,7,8,6,5,9,6,6,2,4,3,2,9,9,8,8,7,9,9
100,male,48,category,7,7,7,7,7,7,7,8,8,8,8,8,8,8,9,9,9,9,9,9,9
101,male,27,property,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
102,male,45,category,3,5,4,6,5,4,3,5,7,7,7,7,7,6,8,6,6,4,7,7,3
103,male,31,property,7,9,8,6,4,4,4,9,8,8,5,4,4,4,9,9,6,4,4,4,4
104,male,20,category,3,7,8,7,3,3,0,9,8,8,5,2,2,0,8,9,6,0,0,0,0
105,male,21,property,5,5,4,3,3,3,3,5,5,5,2,2,2,2,5,5,5,4,2,1,1
106,male,28,category,5,5,5,5,4,4,4,8,7,5,5,4,4,4,7,6,5,5,5,5,3
107,male,29,category,6,6,7,3,2,2,2,7,7,7,4,2,2,2,8,8,7,3,3,2,2
108,male,33,property,8,8,2,2,2,2,1,8,8,3,2,1,1,1,8,8,4,1,1,1,1
109,male,31,category,4,4,4,4,4,4,4,9,9,9,9,9,9,9,9,9,9,9,9,9,9
110,female,23,property,7,5,5,5,7,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
111,female,25,category,8,5,3,1,1,0,2,9,8,1,1,1,0,0,9,8,2,1,1,0,0
112,female,27,category,7,7,6,6,6,6,6,8,8,8,8,8,8,8,9,9,8,8,8,8,8
113,male,30,property,6,5,4,4,2,3,2,7,5,2,2,1,1,1,7,7,3,3,0,0,0
114,female,26,property,5,6,6,6,6,6,6,6,6,6,6,5,5,6,6,7,6,5,5,6,6
115,female,21,category,7,8,8,8,8,8,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
116,female,27,property,6,6,8,8,8,7,3,8,8,7,2,1,1,1,8,8,5,2,1,1,0
117,female,20,property,8,7,5,3,2,1,0,9,6,5,4,2,1,0,9,7,6,4,2,3,0
118,female,34,category,3,1,7,7,8,4,2,6,7,8,4,2,1,0,6,3,8,6,1,1,0
119,male,31,category,9,9,7,6,1,0,2,9,9,0,0,0,0,0,9,9,0,0,0,0,0
120,male,35,category,0,9,9,5,3,0,0,9,9,9,6,7,0,0,9,9,9,8,1,1,0
121,male,23,category,6,8,7,4,4,4,4,8,7,6,4,4,4,4,8,8,7,4,4,4,4
122,male,22,category,9,7,3,3,2,2,1,9,6,3,2,1,0,0,9,8,2,1,1,0,0
123,male,27,category,5,7,8,7,2,9,9,9,9,9,9,8,8,9,9,8,8,9,8,9,8
124,female,23,property,8,7,7,4,2,2,1,8,9,9,0,2,1,0,8,8,5,2,1,0,0
125,female,41,category,8,8,3,5,3,2,1,8,5,3,2,1,1,0,9,6,2,2,0,0,0
126,female,36,property,6,4,2,4,0,0,0,7,7,4,2,0,0,0,9,7,7,0,0,0,0
127,male,25,category,9,9,9,5,3,4,7,9,9,9,4,5,3,5,9,9,9,9,9,9,9
128,female,47,property,4,5,0,4,4,0,4,5,5,7,1,0,0,0,9,8,8,0,0,0,0
129,female,22,category,2,5,4,7,7,8,8,9,5,4,2,3,1,0,8,6,5,3,1,0,0
130,female,32,category,8,7,7,5,5,4,4,7,6,7,3,3,3,2,8,7,8,4,4,4,1
131,male,37,property,9,9,0,0,0,0,0,9,9,0,0,0,0,0,9,9,0,0,0,0,0
132,male,21,category,9,9,9,8,6,4,4,9,9,7,4,1,2,1,9,9,7,4,3,1,0
133,male,40,category,8,8,5,5,4,1,1,8,8,6,7,6,4,4,9,9,6,5,4,4,4
134,male,22,property,8,8,5,6,4,2,3,9,8,7,4,3,0,0,9,9,5,1,0,0,0
135,female,33,property,0,0,5,4,5,9,9,9,9,9,0,0,0,0,0,9,0,9,9,0,9
136,female,65,property,7,7,6,4,3,1,1,8,7,5,5,4,3,1,8,8,7,5,2,2,1
137,female,35,property,7,8,6,5,2,1,0,9,9,4,2,1,1,1,9,9,4,2,1,0,0
138,male,29,property,8,7,7,6,6,6,6,8,8,6,6,4,4,4,8,8,6,5,4,3,3
139,male,27,category,0,7,6,2,6,1,1,6,7,7,4,2,1,1,6,8,7,2,2,1,0
140,female,32,property,3,6,8,2,0,0,0,7,7,4,2,0,0,0,8,8,8,1,2,0,0
141,female,37,property,4,5,5,5,4,5,5,8,7,7,6,6,4,4,8,8,7,6,6,2,1
142,male,32,category,9,1,2,4,4,4,1,9,9,4,5,4,4,4,9,9,9,9,9,9,9
143,male,31,property,0,3,3,4,6,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
144,female,29,category,4,8,6,7,6,6,7,8,8,8,8,6,8,8,8,8,8,8,8,8,8
145,female,29,property,6,5,3,2,2,0,0,9,4,4,2,1,1,0,9,5,3,4,2,2,0
146,male,34,property,5,7,5,3,3,3,3,6,7,5,1,1,2,1,7,7,7,2,1,1,1
147,female,25,category,3,9,9,6,6,5,6,0,9,9,7,3,2,0,1,9,9,9,0,0,0
148,male,59,property,6,5,5,3,1,2,1,6,6,5,2,1,0,0,7,7,5,1,0,0,0
149,female,37,category,3,3,2,4,4,6,7,9,9,9,9,9,9,9,9,9,9,9,9,9,9
150,female,21,category,9,7,2,1,1,2,0,9,7,3,0,0,0,0,9,8,5,3,2,0,0
151,male,47,property,8,6,5,3,2,1,1,8,7,7,2,1,1,1,8,7,5,3,1,1,1
152,male,24,category,1,3,6,7,5,8,8,8,7,8,8,8,8,8,7,9,9,9,3,3,2
153,male,26,property,9,9,9,0,0,0,0,9,9,9,0,0,0,0,9,9,9,0,0,0,0
154,female,50,category,5,5,5,5,6,6,6,6,6,5,5,5,5,5,9,9,8,7,7,7,7
155,female,48,category,8,4,4,4,4,4,4,7,6,4,4,4,4,4,7,7,7,7,7,7,7
156,female,33,category,8,9,8,5,4,3,4,9,9,3,2,3,3,3,9,9,9,3,3,2,2
157,female,39,category,1,4,2,6,7,7,8,1,5,3,7,6,8,8,1,4,7,6,6,7,8
158,female,27,property,4,5,7,8,7,6,3,8,8,8,4,3,2,1,8,7,9,8,1,1,1
159,male,67,category,7,7,5,6,5,4,4,9,9,7,7,6,6,5,9,9,9,9,7,7,6
160,male,46,property,8,7,4,4,4,4,4,7,8,3,4,3,3,2,8,7,6,1,1,1,0
161,male,32,property,1,2,4,5,3,8,6,1,1,3,3,3,5,6,1,2,2,1,5,4,4
162,female,52,property,5,7,6,7,7,6,7,2,6,8,8,7,7,6,9,8,3,3,2,7,6
163,male,31,property,5,4,2,2,1,1,2,7,8,6,2,1,1,1,6,8,2,2,0,0,0
164,male,35,category,9,9,7,5,2,0,0,7,7,5,2,4,0,0,6,7,6,6,2,6,3
165,female,22,category,9,8,8,7,7,4,4,9,9,7,6,4,4,4,9,9,7,7,5,4,5
166,female,30,category,7,7,6,5,4,4,5,7,7,7,6,5,5,5,8,8,7,7,7,7,7
167,female,27,property,5,5,4,4,4,3,2,6,5,5,2,1,1,1,7,6,4,1,1,1,1
168,female,37,category,9,6,8,6,6,4,1,8,9,7,5,2,0,1,9,8,7,4,2,1,1
169,male,31,category,1,4,5,7,8,7,6,8,6,5,2,1,1,0,8,8,1,5,3,0,2
170,male,21,property,8,7,6,6,5,5,4,6,7,7,6,4,2,1,6,7,5,4,2,2,3
171,female,57,property,8,6,6,3,4,1,2,8,7,7,2,1,1,1,8,8,3,1,1,1,1
172,male,49,property,8,8,0,0,0,0,0,9,9,0,0,0,0,0,9,8,0,0,0,0,0
173,female,31,property,6,6,6,3,6,3,3,7,7,4,2,1,1,1,7,7,4,1,1,1,1
174,male,39,category,7,6,6,2,1,0,0,7,8,7,1,0,0,0,7,7,6,3,1,0,0
175,male,24,category,9,9,8,5,3,1,2,9,8,8,3,1,0,0,9,8,6,4,2,0,0
176,female,41,property,1,2,2,3,5,5,7,1,2,5,5,8,8,8,1,2,4,5,6,8,8
177,female,36,property,7,7,6,7,4,7,4,7,7,7,7,4,4,5,7,7,7,5,5,4,4
178,female,21,category,8,7,5,2,2,2,0,8,7,4,3,3,1,0,7,8,7,5,2,1,1
179,female,42,category,5,5,5,2,2,1,0,6,5,2,1,0,0,0,6,5,5,2,2,0,0
180,male,47,category,7,7,7,4,4,4,4,8,8,7,5,4,4,4,8,8,8,5,4,4,4
181,female,27,category,1,7,9,7,1,1,0,0,9,8,8,7,7,2,0,0,8,7,8,7,8
182,female,38,category,5,5,5,4,4,4,4,5,5,5,4,4,4,4,7,7,6,6,6,6,6
183,male,28,category,9,9,9,8,7,0,0,9,9,9,1,0,0,0,9,9,9,0,0,0,0
184,male,33,category,7,7,7,4,5,3,4,8,7,7,5,7,1,1,9,8,7,3,3,1,3
185,male,56,category,8,3,6,7,7,5,4,1,2,7,5,6,5,8,0,2,4,6,6,7,8
186,female,47,property,9,9,9,9,9,0,3,9,9,9,9,0,0,0,9,9,9,0,0,0,0
187,female,27,category,9,9,9,5,0,0,0,9,9,9,0,0,0,0,9,9,9,0,0,0,0
188,female,35,category,4,4,4,4,4,4,4,8,8,8,8,6,6,4,9,9,9,9,6,6,6
189,male,70,property,7,7,6,5,2,1,1,8,7,1,6,1,1,1,8,7,1,1,1,1,1
190,female,34,property,8,6,3,2,2,3,2,8,7,6,1,2,1,1,8,8,4,1,1,1,1
191,female,34,category,9,6,3,1,0,1,1,9,5,2,3,2,0,0,9,6,3,4,3,2,0
192,female,53,category,8,1,0,2,8,1,0,8,8,7,7,3,1,1,8,7,1,1,1,1,1
193,female,34,property,6,8,6,5,3,3,4,7,6,3,3,1,1,0,8,6,3,0,0,0,0
194,female,32,property,9,8,0,0,0,0,0,9,9,0,0,0,0,0,9,9,0,0,0,0,0
195,male,25,property,6,6,6,4,4,4,4,7,7,7,4,2,1,2,8,8,8,1,1,1,1
196,male,24,property,1,4,4,4,3,3,3,6,6,7,7,5,5,4,7,3,8,8,1,1,1
197,male,38,category,7,7,5,5,4,4,4,7,7,6,4,3,3,3,8,8,6,5,6,6,5
198,female,26,category,5,5,5,5,5,4,4,6,4,5,4,2,5,5,4,5,5,2,7,4,7
199,female,36,property,4,4,5,6,5,5,6,4,7,6,5,4,5,6,3,2,4,6,5,6,5
200,male,46,category,5,5,5,5,5,5,5,8,8,8,7,7,7,7,8,8,8,7,7,7,7
201,male,30,property,1,4,4,5,7,7,8,9,8,5,2,2,0,0,9,7,3,3,2,2,0
202,male,26,property,3,3,5,5,7,8,7,6,8,7,3,1,1,0,9,8,9,0,0,0,0
203,male,43,category,9,7,4,6,2,3,1,9,6,4,2,3,1,0,9,9,6,6,5,5,5
204,male,30,property,2,4,7,6,7,2,1,8,9,5,6,2,1,2,8,8,9,2,1,0,0
205,female,48,category,9,7,6,7,2,2,1,9,8,7,3,2,2,0,9,9,0,0,0,0,0
206,female,42,category,5,4,5,6,7,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
207,male,29,category,6,7,8,4,3,4,2,8,7,8,7,8,7,4,9,8,7,9,4,8,8
208,male,30,property,6,5,7,3,2,3,2,4,5,6,6,1,1,0,4,6,7,7,2,1,0
209,male,33,property,7,6,5,4,5,1,2,7,7,8,2,2,3,0,5,9,7,0,1,0,0
210,male,38,property,4,4,4,4,4,4,4,4,4,3,3,3,3,3,4,4,3,3,3,3,3
211,female,29,property,2,4,4,4,4,5,5,2,8,7,2,1,1,1,4,7,7,1,1,1,0
212,male,24,property,3,8,8,7,8,9,7,2,7,6,8,6,7,7,6,7,7,6,8,7,7
213,female,47,property,7,8,8,8,8,1,7,3,8,4,8,6,3,3,8,6,2,7,7,4,8
214,female,61,property,8,8,2,3,1,0,0,8,9,6,0,0,0,0,9,9,6,0,0,0,0
215,male,43,property,8,9,8,9,9,9,9,9,9,9,9,9,9,9,9,5,9,9,8,5,9
216,male,36,property,2,3,5,4,5,4,4,7,6,6,2,3,4,2,8,8,6,3,3,1,1
217,male,25,property,3,4,7,5,6,7,7,7,5,5,2,3,2,3,7,6,2,3,2,1,1
218,female,29,category,7,4,7,5,7,7,7,8,7,6,7,5,6,7,7,6,6,7,8,7,6
219,female,25,property,2,9,8,6,1,0,1,2,9,8,3,4,0,0,6,9,7,5,3,0,0
220,male,44,category,9,9,3,0,0,0,0,9,9,8,7,3,1,0,9,9,9,9,9,0,0
221,female,29,property,9,7,4,5,4,4,4,8,7,5,3,3,2,4,9,8,3,1,1,0,1
222,male,32,property,7,8,7,7,7,4,6,7,7,7,2,5,3,3,8,8,3,2,2,2,1
223,female,35,category,6,7,6,3,3,4,2,8,8,6,5,3,2,2,9,8,7,6,1,2,1
224,female,34,category,2,7,7,6,4,4,4,7,6,5,4,4,4,4,8,8,8,8,8,8,8
225,male,44,property,1,1,1,1,1,1,1,2,2,2,1,0,0,0,3,3,3,1,0,0,0
